(forest ) plant sociology	森林植物社會學
International Standard for Phytosanitary Measures ; ISPM	國際植物防疫檢疫措施標準
International Standard for Phytosanitary Measures（ISPM）	國際植物防疫檢疫措施標準
International Standard organization ; ISO	國際標準組織
International Standards Organization: 9000 ; ISO9000	國際標準組織：9000號規定
International Standards and Conformity ; SISC	國際標準與符合性
International Telecommunications Union ; ITU	國際電訊聯盟
International Terrestrial Reference Frame	國際地球參考框架
International Trade Commissions ; ITC	國際貿易委員會
International Union of Forest Research Organizations ; IUFRO	國際林業研究機構聯合會
International Union of Pure and Applied Chemistry ; IUPAC	國際純化學及應用化學學會
International Value-added Network Services ; IVANS	國際加值網路服務
International Visitor Program ; IVP	國際訪客方案
International coorperation	國際合作
International corporation	國際公司
International exchange	國際交流
International law	國際法
International market	國際市場
International organization	國際組織
International relationship	國際關係
International trade	國際貿易
International waters	國際水域
International waterway	國際水道
Interspecific crossing	種間雜交
Intertidal macroflora	潮間大型藻類相
Intertidal zone	潮間帶
Intervarietal crossing	品種間雜交
Intestinal disease	腸道病
Intestine	腸
Intortum clover	營多藤
Intoxication	中毒
Intraspecific crossing	種內雜交
Intraspecific relationship	種內關係
Introduced species	引進種
Inulin	菊醣
Inventory Section	調查科
Invertebrate	無脊椎動物
Investigation	調查
Investment Guarantee Agreements ; IGAs	投資保証協定
Investment Promotion Authority ; IRA	投資推廣局
Investment Promotion and Protection Agreement ; IPPA	投資促進暨保護協定
Inward Direct Investment ; IDI	對內直接投資
Inward Foreign Manifests ; IFMs	外國輸入品艙單
Iodine	碘
Iodine value	碘值
Iodized salt	碘化鹽
Ion	離子
Ion exchange	離子交換
Ion exchange resin	離子交換樹脂
Iridovirus infection of grouper	石斑魚虹彩病毒症
Iron	鐵
Iron content	鐵含量
Iron intoxication	鐵中毒
Irradiated dried yeast	輻射處理酵母
Irrawaddy dolphin	伊河海豚(鰭海豚)
Ischikauia macrolepis macrolepis Regan	大鱗鱎
Islamic Development Bank ; IDB	伊斯蘭開發銀行
Island	海島
Island thrush	白頭鶇
Iso flosmaris Jordan & Starks	浪花等銀漢魚
Isobuna japonica (Steindachner & Doderlein)	日本准鷹斑鯛
Isoenzyme	同工梅
Isohaline	等鹽線
Isolating pens	隔離繫留欄
Isolation	孤立
Isoleucine	異白胺酸
Isonidae	浪花魚科
Isopod infestation	等足類感染症
Isotherm	等溫線
Isotope	同位素
Isozyme pattern	同功異構酵素型態分析
Israel Economic and cultural Office in Taipei ; IECO	駐台北以色列經濟文化辦事處
Istiophoridae	正旗魚科
Istiophorus platypterus (Ssaw & Nodder)	雨傘旗魚、破雨傘、芭蕉旗魚
Isurus glaucus (Muller & Henle)	灰鯖鮫、尖頭沙、煙仔沙、虎沙
Italian ryegrass	義大利黑麥草
Itatius microlepis Matsubara	細鱗鼬魚
Item name	品名
Jambo dragonfly	無霸勾蜓
Janitor	工友(清潔工)
Japan	日本
Japan Interchange Association, Taipei	日本交流協會台北辦事處
Japanese Encephalitis	日本腦炎
Japanese barracuda(Giant barracuda)	尖鮻
Japanese butterfish	肉魚
Japanese eel	日本鰻
Japanese seaperch	七星鱸
Japanese spiny lobster	龍蝦
Japanese white-eyes	綠繡眼
Japonolaeops dentatus Amaoka	齒鰜鰈
Jaundice	黃疸
Jay	橿鳥（松鴉、高砂卦子、Yaui-kakke）
Jejunum	空腸
Jelling	膠凍
Jelly fish head	海蜇頭
Jelly strength	膠強度
Jellyfish skin	海蜇皮
Jet aerator	射流式增氧機
Jhangnaoliao Station	樟腦寮車站
Jhangtanli	長潭里
Jhaoping  Station	沼平車站
Jhaoping Station	沼平車站
Jhaoyang National Trail	朝陽國家步道
Jhengbin	正濱
Jhenhai	鎮海
Jhingliao	中寮
Jhongguang	重光
Jhongjhou	中洲
Jhongjhu	中柱
Jhongjiao	中角
Jhongshan	中山
Jhongshe	中社
Jhongsi	中西
Jhongsing Nursery	中興苗圃
Jhongyun	中芸
Jhuci Railway Maintenance Section	竹崎監工區
Jhuci Station	竹崎車站
Jhuci nursery	竹崎苗圃
Jhushan Station	祝山車站
Jhuwan	竹灣
Jhuwei	竹圍
Jiahsian Sihde Fossil Reserve	甲仙四德化石自然保護區
Jiancing Historic Trail	見晴懷古步道
Jiangjyun	將軍
Jiangjyun Bei	將軍北
Jiangjyun Nan	將軍南
Jiangmei	講美
Jianshan	尖山
Jiaoliping Station	交力坪車站
Jiaosi Station	礁溪工作站
Jiaosi Taiwan keteleeria natural protected area	礁溪台灣油杉自然保護區
Jibei	吉貝
Jig	滾鉤
Jing-An	井垵
Jinhu	金湖
Jinshueiying Major Wildlife Habitat	浸水營野生動物重要棲息環境
Jinzun	金樽
Jioujhihze Natural Trail	鳩之澤自然步道
Jioujiou Peaks Nature Reserve	九九峰自然保留區
Johnius amblycephalus (Bleeker)	鈍頭鬚
Johnius bleangerii (Cuvier & Valenciennes)	皮氏魷口
Johnius carutta Bloch	白帶魷口
Johnius coitor (Hamilton-Buchanan)	突吻魷口
Johnius dussumieri (Cuvier & Valenciennes)	杜氏魷口
Johnius sina (Cuvier & Valenciennes)	中華叫姑魚
Johnius tingi (Tang)	丁氏魷口
Joint venture	合資企業
Jordanicus gracilis (Bleeker)	纖細隱魚
Junior Officer	佐理員
Junior Personnel Officer	人事佐理員
Junior Technical Specialist	技佐
Junior Technical Specialist（委任）	技佐
Juridical person	法人
Juvenile	稚魚
Juvenile crab	稚蟹
Juvenile fish	稚魚
Juvenile mollusk	稚貝
Juvenile prawn	稚蝦
Juvenile shrimp	蝦苗
Jwo-Shoei estuary	濁水溪口
K value	K 值
Kaincope disease	棕櫚類致死黃化病
Kaiyuan	開元
Kamoharaia megastoma Kamohara	大口鰜鰈
Kaohsiung Animal Propagation Station	高雄種畜繁殖場
Kaohsiung Animal Propagation Station, Livestock Research Institute	畜產試驗所高雄種畜繁殖場
Kaohsiung Branch, Bureau of Animal and Plant Health Inspection and Quarantine	動植物防疫檢疫局高雄分局
Kaohsiung County Sanmin Township Nanzihsian River Major Wildlife Habitat	高雄縣三民鄉楠梓仙溪野生動物重要棲息環境
Kaohsiung County Sanmin Township Nanzihsian River Wildlife Refuge	高雄縣三民鄉楠梓仙溪野生動物保護區
Kaohsiung District Agricultural Research and Extension Station	高雄區農業改良場
Kaohsiung harbor	高雄港
Kapok meal	木棉籽粕
Karyotype	染色體組型
Katsuwonus pelamis (Linnaeus)	正鰹、柴魚、煙仔魚
Kau-Ping River	高屏溪
Kaupichthus diodontus Schultz	二齒異糯鰻
Kd	土壤分佈係數
Keel	龍骨
Keelung Branch, Bureau of Animal and Plant Health Inspection and Quarantine	動植物防疫檢疫局基隆分局
Keelung harbour	基隆港
Keep off the Grass	請勿踐踏牧草地
Keliao	蚵寮
Kelloggella cardinalis (Jordan & Seale)	紅衣鯊
Kelp	海帶
Kelp culture	海帶養殖
Kelp disease	海帶病害
Kelp food	海帶食品
Kenting National Park	墾丁國家公園
Kenting Uplifted Coral Reef Nature Reserve	墾丁高位珊瑚礁自然保留區
Kentrocapros aculeatus (Houttuyn)	六稜鎧魨
Keratoglobus	球形角膜
Keratokonus	錐形角膜
Key Performance Index ; KPI	重要績效評鑑指標
Keya Estuary and Siangshan Wetland Major Wildlife Habitat	客雅溪口及香山溼地野生動物重要棲息環境
Kezihliao	蚵子寮
Kidney disease	腎臟病
Kikuchi’s Turtle-Designed Snake (Taiwan Mountain Pitviper)	菊池氏龜殼花(台灣烙鐵頭)
Kikuchi’s gecko	蘭嶼守宮(菊池氏蛤蚧、菊池氏守宮、蘭嶼壁虎、菊池氏壁虎 )
Kikuyu grass	克育草
Kinmen National Park	金門國家公園
Kinmen Satellite Image Map	金門衛星影像圖
Kitchen	茶水間
Kneader	擂潰機
Kneading	擂潰
Knot	網結
Knot or primple disease	黏性微苞蟲病或丘疹病
Knotless netting	無結網片
Knotted netting	有結網片
Knowledge Management ; KM	知識管理
Koc	土壤有機分佈係數
Kogia breviceps (de Blainville	小抹香鯨
Kogia simus Owen	侏儒抹香鯨
Kogiidae	小抹香鯨科
Korea	韓國
Korean Standards ; KS	韓國標準
Korean mackerel	闊腹鰆
Krill	南極蝦
Krill cake	南極蝦餅
Krill juice	南極蝦汁
Krill meals	南極蝦飯
Krill paste	南極蝦醬
Krill resources	南極蝦資源
Kuanyin coastal wildlife important habitat	觀音海岸野生動物重要棲息環境
Kudzu	葛藤
Kuhlia boninensis (Fowler)	小笠原湯鯉
Kuhlia marginata (Cuvier & Valenciennes)	湯鯉
Kuhlia mugil (Bloch & Schneider)	銀湯鯉
Kuhlia rupestris (Lacepede)	大口湯鯉
Kuhliidae	湯鯉科
Kuhne’s grass lizard	台灣地蜥(古氏草蜥、古納氏蛇舅母)
Kuroshio	黑潮
Kuroshio Current	黑潮
Kuruma shrimp	斑節蝦
Kuruma shrimp larval	斑節蝦苗
Kyoto Convention ; KC	京都公約
Kyoto Protocol	京都議定書
Kyphosidae	舵魚科
Kyphosis	脊柱後突
Kyphosis cinerascens (Forsskal)	天竺舵魚
Kyphosis lembus (Cuvier & Valenciennes)	蘭勃舵魚、白毛
Kyphosis vaigiensis (Quoy & Gaimard)	銅色舵魚
Kyro-ichthyozoosis	寒性鰭基腫大症
LC50	半數致死濃度
LD50	半數致死劑量
LIDAR (LIght Detection And Ranging )	光達
Labeling	標識
Labor Market Information ; LMI	勞動市場資訊
Labor Ministry ; LM	勞工部
Laboratory	實驗室
Laboratory Accreditation ; LA	實驗室認証
Laboratory animal diet	實驗動物飼料
Laboratory raised	實驗室培育
Laboratory sample	實驗樣品
Labour force	勞動力
Labour productivity	勞動生產力
Labrichthys unilineatus (Guichenot)	單線摺唇鯛
Labridae	隆頭魚科
Labroidei	隆頭魚亞目
Labroides bicolor Fowler & Bean	二色裂唇鯛
Labroides dimidiatus (Cuvier & Valenciennes)	藍帶裂唇鯛
Labropsis manabei Schmidt	硫殏厚唇鯛
Lack of appetite	缺乏食慾
Lactariidae	乳鯖科
Lactarius lactarius (Bloch & Schneider)	乳鯖
Lactase	乳糖敫
Lactic acid	乳酸
Lactobacillus	乳酸菌類
Lactoria cornutus (Linnaeus)	角棘四稜鎧魨
Lactoria diaphana (Bloch & Schneider)	海燕四稜鎧魨
Lactoria fornasini (Bianconi)	五棘鎧魨
Lactose	乳糖
Ladies' Room	女化妝室／女廁所
Laeops kitaharae Smith & Pope	北原氏槍鰈
Laeops nigrescens Lloyd	黑槍鰈
Laeops parviceps Gunther	小頭槍鰈
Laeops tungkongensis Chen & Weng	東港槍鰈
Lag phase	延滯期
Lagenodelphis hosei Fraser	弗氏海豚
Lagocephalus gloveri Abe & Tabeta	鯖河魨、規魚、麵規
Lagocephalus inermis (Temminck & Schlegel)	滑背河魨
Lagocephalus lunaris (Bloch & Schneider)	栗色河魨
Lagocephalus sceleratus (Forster)	仙人河魨
Lagocephalus wheeleri Abe	Tabeta & Kitahame  白鯖河魨
Lagoon	瀉湖
Laid Stone Construction	砌石工程
Lake	湖泊
Lake aquaculture	湖泊養殖
Lake fish culture	湖泊養魚
Lake fishery	湖泊漁業
Lake fishing	湖泊捕撈
Laminaria	海帶
Lamnidae	鯖鮫科
Lampridae	月魚科
Lampris regius (Bonnaterre)	月魚
Lampyrigera yunnana (Fairmaire)	雲南扁螢
Lan-hsu giant katydid	蘭嶼大葉螽蟴
Lancetfish	帆蜥魚
Land fowls	陸禽
Land locked	陸封型
Landing amount	上岸量，漁獲量
Landlocked species	陸封型種類
Landscape Forest	風景保安林
Lantern disease	燈籠病
Lanyang Estuary Waterbird Refuge	蘭陽溪口水鳥保護區
Laomei	老梅
Lapinized hog cholera virus	兔化豬瘟疫苗
Laputa cingalensis Fraser-Brenner	前棘單棘魨
Lard	豬油
Lard ; Pork fat	豬油
Lard pulp	豬油粕
Large Brown Cuckoo Dove	長尾鳩（烏鵑鳩、Ivoao）
Large Scale Drying System	大型乾燥系統
Large community	大型聚
Large croaker	鮸
Large intestine	大腸
Large purple fritllary	大紫蛺蝶
Large size fingerling	大型魚苗
Large yellow croaker( Croceine croaker)	大黃魚
Large-mouth bass	淡水大口黑鱸
Largemouth bass	大口鱸
Larimichthys crocea (Richardson)	大黃魚
Larimichthys polyactis (Bleeker)	小黃魚
Larva	仔魚
Larva rearing	仔魚培育
Larvae	仔魚
Larval anchovy	勿仔魚
Larval culture	仔魚養殖
Larval development	仔魚發育
Larval fish	仔魚
Larval fish(Buccaneer anchovy)	魩仔
Larval production	仔魚生產
Larval rearing	仔魚養殖
Larval stage	仔魚期
Larval stage feed	仔魚期飼料
Larviculture	仔魚養殖
Laser	雷射
Lateolabrax japonicus (Cuvier & Valenciennes)	七星鱸、花鱸、金目鱸
Lateral line	側線
Lates calcarifer (Bloch)	扁紅目鱸、金目鱸、盲槽
Law Governing Veterinarian	獸醫師法
Leachate	浸出液
Leaching	浸出
Lead	鉛
Lead intoxication	鉛中毒
Leaf curl disease	捲葉病
Leaf fat	板油（肚尾油）
Leaf protein concentrate	濃縮葉蛋白
Leaf scorch disease	椰子葉緣焦枯病
Leakage control	防滲
Lean fish	少脂魚
Lease	租賃
Least square method	最小二乘法
Least- Cost Resolution	最小處理成本法
Leatherback sea turtle	革龜(稜皮龜、革背龜、舢板龜)
Leech infection	魚蛭感染症
Legal Affairs Section	法制科
Legal Committee	法規委員會
Legislation	法規
Leiocassis adiposalis (Oshima)	淡水河鮠
Leiocassis brevianalis (Regan)	日月潭鮠
Leiocassis crassilabris crassilabris Gunther	粗唇鮠
Leiocassis taiwanensis (Oshima)	臺灣鯰
Leiocassis truncatus Regan	截尾鮠
Leiomyoma	平滑飢瘤
Leiuranus semicnctus (Lay & Bennett)	半環平輒D鰻
Lemna minor	浮萍
Lemon pulp	檸檬渣
Length composition	體長組成
Length-weight composition	體長體重組成
Length-weight relationship	體長體重關係
Leopard cat	石虎(山貓、華南豹貓、金錢貓)
Lepadichthys frenatus Waite	三崎姥姥魚
Lepidoblepharon ophthalmolepis Weber	鱗鰈
Lepidocybium flavobrunneum (Smith)	鱗網帶鰆
Lepidorthosis	立鱗病
Lepidorthosis contagiosa	立鱗病
Lepidotrigla abyssalis (Jordan & Starks)	深海角魚
Lepidotrigla alata (Houttuyn)	紅雙鎗角魚、雞公
Lepidotrigla guntheri Hilgendorf	貢氏角魚
Lepidotrigla japonica (Bleeker)	日本角魚
Lepidotrigla kishinouyi Snyder	岸上氏角魚
Lepidotrigla microptera Gunther	短鰭角魚
Lepidotrigla punctipectoralis Fowler	臂斑角魚
Lepocinclis	鱗孔藻
Leptinotarsa decemlineata Say	柯羅拉多金花蟲
Leptocardii	狹心綱
Leptoscarus vaigiensis (Qupy & Gaimard)	鸚鯉
Leptospirosis	鉤端螺旋體病
Leptostomias robustus Imai	纖黑廣口魚
Lepturacanthus savala (Cuvier)	沙帶魚
Lernaea	錨頭蚤
Lerneosis	錨頭蚤病
Lesions	損害
Lesions in gills	鰓部損壞
Less Developed Countries ; LDCs	低度開發國家
Lestidium atlanticum Borodin	正大西洋裸狗母
Lestidium indopacificum Ege	印太裸狗母
Lestidium japonica Tanaka	日本裸狗母
Lestidium nudum Gilbert	正裸狗母
Lestrolepis intermedia (Poey)	中間裸狗母
Lethal concentration	致死濃度
Lethal effect	致死效應
Lethal factor	致死因子
Lethal yellowing phytoplasma	致死黃化病
Lethrinidae	龍占魚科
Lethrinus amboinensis Bleeker	橫紋龍占
Lethrinus atkinsoni Seale	阿根遜龍占
Lethrinus choerorhynchus (Bloch & Schneider)	濱龍占、龍尖、龍占、海豬哥
Lethrinus fletus Whitley	紅鰭龍占
Lethrinus frenatus Valenciennes	一點龍占
Lethrinus haematopterus Temminck & Schlegel	龍占
Lethrinus harak (Forsskal)	單斑龍占
Lethrinus kallopterus Bleeker	條紋龍占
Lethrinus lentjanus (Lacepede)	烏帽龍占
Lethrinus mahsena (Forsskal)	黃尾龍占
Lethrinus mahsenoides Cuvier & Valenciennes)	磯龍占
Lethrinus miniatus (Bloch & Schneider)	長吻龍占
Lethrinus nebulosus (Forsskal)	青嘴龍占
Lethrinus nematacanthus Bleeker	絲棘龍占
Lethrinus ornatus Valenciennes	紅帶龍占
Lethrinus reticulatus Cuvier & Valenciennes	網紋龍占
Lethrinus rubrioperculatus Sato	紅鰓龍占
Lethrinus semicinctus Valenciennes	長身龍占
Leucaena seed meal	銀合歡種子粉
Leucine	白胺酸
Leucoderma	白皮病
Leucoderma aquisita	後天性白斑病
Leudopathia congenita	先天性色素缺乏症
Leukaemia	白血病
Leukocytozoonosis	雞住血原蟲白冠病
Leukopenia	白血球減少症
Level	水準儀
Leveling	水準測量
Leveling Rod	水準尺
Liberalization Steering Group ; LSG	自由化推動小組
Library	圖書室
Library Management	圖書管理
Lienardella fasciatus (Gunther)	橫帶窣鯛
Life cycle	生命周期
Life history	生活史
Lift net	敷網
Ligase	連接梅
Light	光
Light attraction	光吸引
Light boat	燈船
Light effect	光效應
Light fishing	光誘魚法
Light intensity	光照強度
Light-purse seine	光誘圍網
Ligin sulfonate	磺酸木質素
Lignin	木質素
Lija macrolepls fry	鱗鯔魚苗
Lijia Major Wildlife Habitat	利嘉野生動物重要棲息環境
Lima bean	皇帝豆
Limestone powder	石灰石粉
Limit of detection (LOD)	檢測極限
Limit of quantitation(LOQ)	計量極限
Limit of reporting	報告極限
Limited-Coverage Deposit insurance	限額存款保險
Limiting factor	限制因子
Limnetic zone	湖沼帶
Limnichthys sp.	沙絲鰭
Limnological study	湖沼研究
Limnology	湖沼學
Line hauler	起線機
Line winder	理線機
Linear density	線密度
Linear regression analysis	線性回歸分析
Liner	釣船
Linhaisincun	小港臨海新村
Linked Auction System ; Simultaneous Auction System	連線式拍賣系統
Linker Machine	結紮機
Linmei Shihpan Trail	林美石磐步道
Linoleic acid	亞油酸
Linolenic acid	亞麻酸
Linseed meal ; Linseed oil meal	亞麻仁粕
Linshanbi	麟山鼻
Liosaccus pachygaster (Muller & Troschel)	縱褶河魨
Liouciousin	琉球新
Lioukuaicuo	六塊厝
Liparidae	獅子魚科
Liparis tanakai (Gilbert & Burke)	細紋獅子魚
Liphoplus sp.	鉦蟋蟀
Lipid content	脂質含量
Lipids	脂質
Lipofibroma	脂肪纖維瘤
Lipoma	脂肪瘤
Lipomatosis	脂肪過多症
Lipophilicity	親脂性
Liposarcoma	脂肪肉瘤
Lipotes vexillifer	白鰭豚
Liquefied Petroleum Gas ; LPG	液態天然氣
Liquid DL-methionine	液態蛋胺酸
Liquid ammonia	液氨
Liquid cooling	液體冷卻
Liquid fish protein	液體魚蛋白
Liquid nitrogen	液態氮
Liquid nitrogen freezing	液氮凍結
Liquid phase conversion	液相轉化
Liquified feed	液化飼料
Lishan Station	梨山工作站
Lishuei	麗水
Listeria	李斯特菌
Little Tern	小燕鷗（白額燕鷗、丁香鳥、黃嘴鷹子）
Little forktail	小剪尾
Littoral	沿岸的
Littoral zone	沿岸帶
Live bait	活餌
Live fish boat	活魚運輸船
Live fish transportation	活魚運輸
Live fish vehicle	活魚運輸車
Live food	生物餌料
Live prawn transportation	活蝦運送
Liver	肝
Liver and glandular meal	肝臟粉
Liver disease	肝病
Liver lesions tuberculous	肝臟之結核性損害
Liver oil	肝油
Livestock	家畜
Livestock Artificial Reproduction Center	畜禽人工生殖中心
Livestock Gene Transfer Center	畜禽基因轉殖中心
Livestock Management Building	經營館
Livestock Management Division	經營組
Livestock Research Institute	畜產試驗所
Livestock Research Institute, Council of Agriculture, Executive Yuan	行政院農業委員會畜產試驗所
Living modified organism ; LMO	基因改性活體
Liyang Station	麗陽工作站
Liyuanliao Station	梨園寮車站
Liza carinata (Cuvier & Valenciennes)	秀華鯔
Liza formosae Oshima	臺灣鯔
Liza macrolepis (Andrew Smith)	大鱗鯔
Liza melinoptera (Cuvier & Valenciennes)	污鰭鯔
Liza parva Oshima	小鯔
Liza pescadorensis Oshima	澎湖鯔
Liza strongylocephalus (Richardson)	圓頭鯔
Liza taqde (Forsskal)	韃特鯔
Liza vaigiensis (Quoy & Gaimard)	佛吉鯔
Lizard fish	狗母魚
Lizard fish(Slender lizardfish)	狗母
Loach	鰍
Loach fry	泥鰍苗
Loach(Pond loach)	泥鰍
Loan for Agricultural Food Industry in Guidance and Assistance of Management	輔導農糧業經營貸款
Loan for Agriculture Production and Marketing Groups	農業產銷班貸款
Loan for Fishery Industry in Guidance and Assistance of Management	輔導漁業經營貸款
Loan for Improving the Farmers' Finance	改善財務貸款
Loan for Livestock and Poultry Industry in Improving the Management Efficiency	提升畜禽產業經營貸款
Loan for expanding the family farm to support	擴大家庭農場經營規模協助農民購買耕地貸款
Loan for farm Machinery	農機貸款
Loan for farmers and fishermen in Guidance and assistance of Management Improvement	農民經營改善貸款
Loan for the Business Development of Farmers’and Fishermen’s Association	農漁會事業發展貸款
Loan for the Hillside Field Conservation	山坡地保育利用貸款
Loan subject to observation	應予觀察放款
Lobotes surinamensis (Bloch)	松鯛
Lobotidae	松鯛科
Lobster	龍蝦
Local anemia	局部貧血
Local catch	本地漁獲
Local reactions	局部反應
Local stock	本地族群
Lock	船閘
Locomotor organ	運動器官
Loggerhead turtle	赤蠵龜(蠵龜、紅海龜)
Logging Station	林場
Loin	大里肌肉
Loligo	鎖管
Loligo chinensis	中國槍烏賊，鎖管
Loligo chinensis Gray	中國槍烏賊、鎖管
Loligo edulis	鎖管
Loligo edulis Hoyle	鎖管
London Dumping Convention	倫敦廢棄物投棄公約
Long Line	延繩釣
Long distance fishing	遠洋捕撈
Long-eared Owl	長耳鴞（虎斑木兔、長耳木兔、虎鵵、彪木兔）
Long-term loan	長期放款
Longdong	龍洞
Longfong	龍鳳
Longine fishing ground	延繩釣漁場
Longline culture	延繩養殖
Longline fisheries	延繩釣漁業
Longline fishing boat	延繩釣漁船
Longline machinery	延繩釣捕機械
Longlining	延繩釣
Longmei Station	龍美工作站
Longmen	龍門
Lorey's mean height	Lorey 平均樹高
Lot	批樣
Lotella maximowiczi Herzenstein	蝦夷磯鬚鱈
Lotella phycis (Temminck & Schlegel)	磯鬚鱈
Low fat diet	低脂肪飼料
Low fluorine rock phosphate	低氟磷礦石
Low gossypol cottonseed meal	低棉籽油酚棉籽粕
Low potassium diet	低鉀飼料
Low sodium diet	低鈉飼料
Low temperature	低溫
Low temperature narcotization	低溫麻醉
Low-rate loans for agricultural natural  disasters	農業天然災害低利貸款
Low-temperature drying	低溫乾燥
Loxodon macrorhinus Muller & Henle	廣鼻曲齒鮫
Lu shrimp(Southern rough shrimp)	蘆蝦
Luciogobius saikaiensis Dotu	西海竿鯊
Luciola Kagiana Matsumura	紅胸黑翅螢
Luciola anceyi Olivier	大端黑螢
Luciola cerata Olivier	黑翅螢
Luciola ficta Olivier	黃緣螢
Luciola filiformis Olivier	紋螢
Luciola gorhami Ritsema	端黑螢
Lulinshan Major Wildlife Habitat	鹿林山野生動物重要棲息環境
Luminescence	發光
Luminous intensity	光照度
Lumpy Skin Disease	牛結節疹
Lunar phase	月相
Lunweiwan	崙尾灣
Luocuo	羅厝
Luodong Forest District Office	羅東林區管理處
Luodong Forest District Office, Forestry Bureau, Council of Agriculture, Executive Yuan	行政院農業委員會林務局羅東林區管理處
Luotung Forest District Office, Forestry Bureau	林務局羅東林區管理處
Luring light	誘魚燈
Lurker	誘魚燈船
Luteinizing release hormone-analogue	促黃體釋放激素
Luteinizing releasing hormone-analogue	促黃體釋放激素類似物
Lutjanidae	笛鯛科
Lutjanus	笛鯛
Lutjanus argentimaculatus (Forsskal)	銀紋笛鯛、紅槽
Lutjanus bohar (Forsskal)	雙斑笛鯛
Lutjanus caeruleovittatus (Valenciennes)	藍帶笛鯛
Lutjanus decussatus (Cuvier & Valenciennes)	交叉笛鯛
Lutjanus ehrenbergii Peters	愛倫氏笛鯛
Lutjanus erythropterus Bloch	赤鰭笛鯛、赤海、紅槽、赤松
Lutjanus flavipes (Cuvier & Valenciennes)	黃足笛鯛
Lutjanus fulviflamma (Forsskal)	火斑笛鯛
Lutjanus fulvus	黃足笛鯛
Lutjanus gibbus (Forsskal)	隆背笛鯛
Lutjanus janthinuripterus (Bleeker)	紫尾笛鯛
Lutjanus johni (Bloch)	黑斑笛鯛
Lutjanus kasmira (Forsskal)	四線笛鯛、紅槽、赤筆、青筆
Lutjanus lineolatus (Ruppell)	琴絃笛鯛
Lutjanus lutjanus Bloch	正笛鯛
Lutjanus malabaricus (Bloch & Schneider)	摩拉巴笛鯛
Lutjanus monostigma (Cuvier & Valenciennes)	單斑笛鯛
Lutjanus nematophorus (Bleeker)	曳絲笛鯛
Lutjanus rivulatus (Cuvier & Valenciennes)	海難母笛鯛
Lutjanus rufolineatus (Cuvier & Valenciennes)	紅線笛鯛
Lutjanus russellii (Bleeker)	黑星笛鯛、勒氏笛鯛
Lutjanus sebae (Cuvier & Valenciennes)	川紋笛鯛
Lutjanus semicinctus Quoy & Gaimard	半帶笛鯛
Lutjanus spilurus (Bennett)	五線笛鯛
Lutjanus stellatus Akazki	白星笛鯛
Lutjanus vaigiensis (Quoy & Gaimard)	維琪笛鯛
Lutjanus vitta (Quoy & Gaimard)	縱帶笛鯛
Lutra lutra	水獺
Lyase	裂合梅
Lymphangioma	淋巴管瘤
Lymphatic system	淋巴系統
Lymphocystis disease	淋巴囊腫症
Lymphocystis virus disease	淋巴囊腫症
Lymphocytes	淋巴球
Lymphogenous metastasis	淋巴性貽轉
Lymphoma	淋巴瘤
Lymphosarcoma	淋巴肉瘤
Lysimeter	滲漏測定計
Lysine	離胺酸
Lysozyme	溶菌梅
Lyudao	綠島
MACRORHAMPHOSIDAE	鷸嘴魚科
Mackerel	鯖魚
Mackerel fishing ground	鯖漁場
Mackerels	鯖
Mackerels(Spotted chub mackerel)	鯖
Macolar nigar (Forsskal)	黑背笛鯛
Macro mineral	主要礦物質
Macrobrachium	淡水蝦，沼蝦
Macrobrachium nipponensis	日本沼蝦
Macrobrachium rosenbergii	淡水長腳大蝦
Macrocystis	巨藻
Macrognathus aculeatum (Bloch)	棘鰍
Macrognathus kobayashii (Oshima)	小林氏棘鰍
Macropharyngodon meleagris (Cuvier & Valenciennes	網紋曲齒鸚鯛
Macropharyngodon negrosensis Herre	內華羅曲齒鸚鯛
Macrophyte	大型植物
Macropodus chinensis (Bloch)	圓尾鬥魚
Macropodus viridiauratus Lacepede	鬥魚
Macropore	大孔隙
Macroramphosidae	鷸嘴魚科
Macrorhamphous scolopax (Linnaeus)	鷸嘴魚
Macrouridae	鼠尾鱈科
Macrura kelee (Cuvier)	花點鰣
Macrura reevesii (Richardson)	黎氏鰣
Macrura sinensis (Linnaeus)	中國鰣
Mactra antiquata	西施舌
Mactra quadrangularis	四角蛤蜊
Mactridae	蛤蜊科
Maedi-Visna ; Ovine Progressive Pneumonia	慢性進行性間質性肺炎
Maedi-visna	慢性進行性間質性肺炎
Magang	馬崗
Magnesium	鎂
Magnesium carbonate	碳酸鎂
Magnesium oxide	氧化鎂
Magnesium sulfate	硫酸鎂
Magnetic field	磁場
Magnetic variation	磁差
Magnetizing technique	磁化技術
Magong	馬公
Main algae	種藻
Maintenance	維修
Maintenance Worker	工友
Major Wildlife Habitat	野生動物重要棲息環境
Makaira indica (Cuvier)	立翅旗魚、白皮旗魚、白肉丁挽
Makaira mazara (Jordan & Snyder)	黑皮旗魚
Malabar cavalla(Trevally)	甘仔鰺
Malacanthidae	軟棘魚科
Malacanthus brevirostris (Guichenot)	短吻軟棘魚
Malacanthus latovittatus (Lacepede)	縱帶軟棘魚
Malachite green	孔雀石綠
Malacocephalus laevis (Lowe)	軟頭條鱈
Malakichthys	瘦大眼鱸
Malakichthys griseus Doderlein	大眼鱸
Malakichthys wakiyai (Jordan & Hubbs)	肋谷氏大眼鱸
Malaysia	馬來西亞
